11;Kobanya Kispest;Pottyos utca;Nepliget;Klinikak;Kalvin ter;Deak Ferenc ter;Nyugati palyaudvar;Dozsa Gyorgy ut;Forgach utca;Ujpest-VarosKapu;Ujpest-Kozpont
6;Kelenfold vasutallomas;Ujbuda kozpont;Szent Gellert ter;Kalvin ter;Rakoczi ter;Keleti palyaudvar
6;Deli palyaudvar;Batthyany ter;Deak Ferenc ter;Blaha Lujza ter;Puskas Ferenc stadion;Ors vezer tere
